Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
435,NSSC,"63,04,02,105",-34,0.4,0.5,1.4
436,NATH,"63,23,47,100",284.4,-0.3,0.1,4.1
437,NHC,"63,59,06,100",130.5,0.1,0.1,38.6
438,THC,88033G407,10653.3,1.2,2.6,-198.1
439,GPX,36225V104,64.7,0.1,0.1,8.5
440,NPK,"63,72,15,104",316,0,0,31.8
441,HLNFF,"42,96,95,109",-332.2,0.4,0.6,14.5
442,NATR,"63,90,27,101",257.9,0,0,8.9
443,CRMZ,"22,54,26,105",42.3,0.1,0.2,0.3
444,NULM,"64,90,60,100",-75.3,0.5,0.8,5.1
445,NYT,"65,01,11,107",1269.6,0.3,0.3,124.2
446,NWL,"65,12,29,106",46055.5,0.6,0.4,229.9
447,NEM,"65,16,39,106",6794.9,0.3,0.3,319.2
448,NR,"65,17,18,504",398.3,0.4,0.4,21.8
449,NKE,"65,41,06,103",7815.6,0.1,0,1788.2
450,NOBH,"65,48,92,108",62.9,0,0,2
451,NBL,"65,50,44,105",1410.7,0.3,0.3,387
452,NROM,"65,51,07,100",-2.4,1.3,0.4,0.8
453,NDSN,"65,56,63,102",-409.2,0.3,0.1,107
454,JWN,"65,56,64,100",434.9,0.5,0.3,489
455,NSC,"65,58,44,108",3918.8,0.4,0.6,1254.2
456,NC,"62,95,79,103",96.9,0.4,0.9,25.3
457,MOV,"62,45,80,106",1142.8,0.1,0.1,24
458,NOC,"66,68,07,102",8306.7,0.2,0.3,1298.4
459,TEX,"88,07,79,103",1656.2,0.5,1,146.9
460,NEWT,"65,25,26,203",-150.7,0.4,0.7,5.4
461,OXY,"67,45,99,105",19106.2,0.2,0.2,2939.5
462,OBCI,"67,46,31,106",-1.5,0.3,0.5,0.7
463,OII,"67,52,32,102",1517,0.2,0.1,166.6
464,ITI,46564T107,-71.9,0.1,0.1,-4.3
465,BRS,"11,03,94,103",1145.3,0.4,0.5,76.1
466,ODC,"67,78,64,100",70.4,0.3,0.3,6.7
467,OLN,"68,06,65,205",563.7,0.3,0.4,86.1
468,ORBK,M75253100,256.7,0.1,0.1,12.8
469,ORBT,"68,55,59,304",-16.5,0.1,0.3,0
470,OSG,69036R863,-1345.3,0.6,1.2,52.5
471,OMI,"69,07,32,102",222.7,0.3,0.3,76.1
472,OC,"69,07,42,101",-7000,0.3,2.3,144.9
473,OI,"69,07,68,403",-604.4,0.9,1.8,4.2
474,OXM,"69,14,97,309",771.9,0.3,0.3,20
475,PFIN,"69,28,30,508",-111.9,0.2,0.7,0.9
476,PPG,"69,35,06,107",2756.2,0.3,0.2,917.1
477,PCAR,"69,37,18,108",3408.8,0.3,0.3,884.5
478,UWN,64126Q206,16.6,0.8,0.6,1.7
479,PAR,"69,88,84,103",-7.7,0,0.1,-0.7
480,PARF,"69,90,58,103",51.2,0,0.1,0.7
481,PKE,"70,04,16,209",476.1,0.1,0.1,12.2
482,PKD,"70,10,81,101",250.1,0.9,1.3,-2
483,PH,"70,10,94,104",3010.5,0.2,0.2,669
484,PATK,"70,33,43,103",432.5,0.4,1,3
485,GDP,"38,24,10,843",356,0.8,2.3,-90.7
486,PAYX,"70,43,26,107",-540.8,0,0,484.6
487,PVAC,70788V102,135.1,0.3,4.1,-127.2
488,JCP,"70,81,60,106",7187.5,0.5,1,9.3
489,PNR,G7S00T104,-1908.9,0.4,0.3,141
490,PEP,"71,34,48,108",52662.5,0.3,0.1,5003.1
491,TPC,"90,11,09,108",-169.5,0.1,0.4,32.7
492,PDCE,69327R101,7689.8,0.3,0.4,24.4
493,PHIIK,69336T205,927.4,0.6,1,15
494,PFE,"71,70,81,103",-12418.8,0.1,0.1,9946.9
495,WTR,03836W103,-350.7,0.5,0.4,120.7
496,MO,02209S103,-60693.8,0.4,0.2,7093.2
497,COP,20825C104,9300,0.3,0.3,5546.3
498,PVH,"69,36,56,100",1307.2,0.4,0.4,175.6
499,PIR,"72,02,79,108",466.1,0.1,0.7,44.9
500,AGYS,00847J105,-101.7,0.2,0.2,-5
501,PBI,"72,44,79,100",8088.4,0.8,0.7,415.4
502,PW,73933H101,3.9,0.1,0.1,0.4
503,PLT,"72,74,93,108",1904.8,0.1,0,70.1
504,KGC,"49,69,02,404",5900.6,0.1,0.3,-634.6
505,POLXF,"73,17,28,200",2.6,0.2,0.5,-0.3
506,PCH,"73,76,30,103",-1237,0.7,0.4,40.6
507,POWL,"73,91,28,106",464.6,0.1,0.1,16.7
508,PG,"74,27,18,109",-33386.7,0.3,0.1,8671.9
509,PHM,"74,58,67,101",5867.5,0.5,0.7,144.4
510,PCYO,"74,62,28,303",224.9,0.1,0.1,-5
511,AGX,"40,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",950.8,0,0.1,9.2
512,KWR,"74,73,16,107",305.6,0.2,0.2,25.4
513,QSII,"74,75,82,104",-473.3,0,0,28.9
514,ASYS,"3,23,32,504",146.1,0,0,-1.8
515,QTM,"74,79,06,501",-1926.4,0.9,0.7,-48.1
516,RCMT,"74,93,60,400",-91.4,0.1,0.1,-3
517,RES,"74,96,60,106",278.5,0.1,0,90.8
518,USLM,"91,19,22,102",158.9,0.6,0.6,11
519,RAVN,"75,42,12,108",101.6,0,0,26.1
520,RTN,"75,51,11,507",1712.5,0.3,0.3,1235.4
521,IHT,"45,79,19,108",3.6,2.8,4.1,-1.2
522,RGS,"75,89,32,107",185.7,0.4,0.4,22.7
523,RTMAF,"75,94,04,205",374.1,0.1,0,48.4
524,RLBY,"75,99,03,107",-84.3,-0.1,0,-1.6
525,AN,05329W102,136.9,0.2,0.4,247.8
526,RELL,"76,31,65,107",33,0.4,0.5,5.6
527,DSVTF,"25,53,71,205",-15.6,0.2,1.1,-3
528,RSKIA,"76,77,20,204",17.8,0,0,2.4
529,RAD,"76,77,54,104",2302.3,2.7,3.9,-226.6
530,ROK,"77,39,03,109",9199.4,0.2,0.1,594.1
531,RCI,"77,51,09,200",-17382.2,1.2,0.7,813.2
532,ROG,"77,51,33,101",1832.5,0.1,0,28.3
533,ROL,"77,57,11,104",109,0,0,79.3
534,ROST,"77,82,96,103",-815.1,0,0,446.1
535,RDC,G7665A101,987.6,0.3,0.4,217.5
536,RGLD,"78,02,87,108",5936.2,0.1,0,31.6
537,R,"78,35,49,108",680.6,0.7,1.2,174.9
538,PGNT,69912T108,3.1,0.1,0.1,0.5
539,SJW,"78,43,05,104",137.3,0.4,0.5,23.3
540,PVCT,74373P108,126.2,0,0,-11.3
541,SFE,"78,64,49,207",-3107.7,0.4,0.5,-61.7
542,SLB,"80,68,57,108",-19889.8,0.3,0.1,3075.1
543,SCHL,"80,70,66,105",185.6,0.3,0.3,63.6
544,SHLM,"80,81,94,104",-378.9,0.2,0.3,29.6
545,LTTC,"51,84,14,107",-11.2,-2.6,0.5,-2.4
546,SCND,"80,87,57,108",-0.4,0,0,0.2
547,SLGD,"81,02,02,101",36.1,0.2,1,-0.4
548,SEB,"81,15,43,107",1166,0.2,0.3,185.3
549,APPS,25400W102,17.1,-1.1,3.6,-22.6
550,LPTC,52186M108,-36.8,-0.5,1.1,-1
551,SEE,81211K100,-12.2,0.7,0.6,96.8
552,IIN,46121H109,39.8,0.2,0.3,-1.8
553,SMTC,"81,68,50,101",-1608.4,0.3,0.1,28.1
554,SCI,"81,75,65,104",2900.5,0.3,1.3,-37.7
555,SVT,"81,77,32,100",16.3,0.3,0.4,1.2
556,SAWLF,"82,04,39,107",732.1,0.1,0.1,84.3
557,SHEN,82312B106,4172.5,0.4,0.3,19.5
558,SHW,"82,43,48,106",827.9,0.2,0.1,494.2
559,SIF,"82,65,46,103",-63.1,0.1,0.3,2.1
560,MUX,58039P107,154.9,0,0,-56.7
561,PVSP,"71,57,09,200",-34.4,0.1,7.1,-2.2
562,SKY,"83,08,30,105",79.7,0,0,-4.3
563,AOS,"83,18,65,209",1297.9,0.2,0.3,112.1
564,SJM,"83,26,96,405",-4048.1,0.3,0.2,294.5
565,SNA,"83,30,34,101",754.4,0.3,0.2,199.9
566,SODI,"83,42,56,208",21.4,0,0,0.7
567,SON,"83,54,95,102",618,0.4,0.3,180
568,PES,"72,36,64,108",39.9,0.4,0.7,-7.5
569,AWR,"2,98,99,101",-30.7,0.4,0.5,33.5
570,LUV,"84,47,41,108",-2768.8,0.2,0.2,575.5
571,T,00206R102,-64726.7,0.3,0.3,9609.2
572,SPAR,"84,68,19,100",169.3,0.1,0.2,6.8
573,SPA,"84,72,35,108",-295.8,0.1,0.1,2.3
574,STAA,"85,23,12,305",8.5,0,0,-9.8
575,SMP,"85,36,66,105",-124.1,0.2,0.4,13.5
576,SXI,"85,42,31,107",554.9,0.3,0.3,25.8
577,SWK,"85,45,02,101",2358.1,0.3,0.3,396.1
578,SCX,"85,56,68,109",112.1,0,0.1,2.3
579,SCL,"85,85,86,100",1154,0.3,0.4,39
580,SYK,"86,36,67,101",38683.8,0.2,0,834.7
581,RGR,"86,41,59,108",191.1,0,0,29.1
582,SVU,"86,85,36,301",-5652.7,0.8,1.8,-217.5
583,SUP,"86,81,68,105",-570.6,0,0,25.7
584,SGC,"86,83,58,102",53,0.1,0.1,4.8
585,SBOW,82836G102,-318,0.6,6,-101.7
586,SYNL,"87,15,65,107",-132.1,0.2,0.3,2
587,SYY,"87,18,29,107",18720.5,0.3,0.1,903.3
588,TSRI,"87,28,85,207",10.1,0,0,1.1
589,TAYD,"87,71,63,105",27.6,0,0.1,1.3
590,TISI,"87,81,55,100",251.9,0.4,0.2,16
591,TCCO,"87,84,09,101",1.6,0,0,0.1
592,SSY,86737U102,-7.1,0.4,1.5,0.2
593,TECK,"87,87,42,204",1926.7,0.3,0.6,867.8
594,ATI,01741R102,3203.7,0.3,0.4,140
595,TFX,"87,93,69,106",1492,0.3,0.3,139.4
596,TDS,"87,94,33,829",6210.9,0.4,0.7,205.4
597,TNC,"88,03,45,103",278.8,0.1,0,23.6
598,TEN,"88,03,49,105",1762.5,0.7,4,26.5
599,TER,"88,07,70,102",2616.6,0.1,0.1,47.7
600,ANDV,03349M105,20600.6,0.4,1.1,407.2
601,TXN,"88,25,08,104",-20062.5,0.1,0,2092.2
602,TPL,"88,26,10,108",73.6,0,0,15.5
603,TMO,"88,35,56,102",21937.3,0.3,0.2,782.4
604,THO,"88,51,60,101",2512.2,0,0,106.1
605,TDW,88642R109,2866.2,0.2,0.7,145
606,SIX,83001A102,-2375.4,1.5,16.6,-29.7
607,TKR,"88,73,89,104",-289.6,0.2,0.2,164.9
608,TOFB,88906B105,-5.8,0,0,0.3
609,TR,"89,05,16,107",229.4,0,0,60.2
610,TTC,"89,10,92,108",109,0.3,0.2,109.6
611,TTLO,"89,13,05,104",15.1,0.6,0.5,0.3
612,TSS,"89,19,06,109",13715.7,0.2,0.1,208.9
613,TNLX,"89,32,47,304",-22.3,1,9,-2.7
614,TRP,89353D107,109131.2,0.9,0.8,1067.9
615,TRNS,"89,35,29,107",41.5,0.3,0.4,1.4
616,TMED,"89,62,59,306",-29.7,0,0.1,-1
617,TRN,"89,65,22,109",1795.6,0.5,0.7,182.8
618,TRT,"89,67,12,205",12.7,0.1,0.3,0.2
619,TWIN,"90,14,76,101",83,0.1,0.3,9.9
620,TYL,"90,22,52,105",-339,0,0,21.9
621,BTGI,"12,04,58,203",41.6,-0.5,1.4,-2.3
622,TSN,"90,24,94,103",-8456.2,0.4,0.6,395.6
623,UAL,"91,00,47,109",-12093.8,0.4,4.4,-269.9
624,USG,"90,32,93,405",-4768.8,0.7,0.7,-120.9
625,UNAM,"90,46,07,108",32.6,0,0,2.2
626,UFI,"90,46,77,200",187.6,0.4,0.9,-15.6
627,UNF,"90,47,08,104",1671.8,0.2,0.2,62.7
628,UNP,"90,78,18,108",-15887.5,0.3,0.3,2401
629,UNT,"90,92,18,109",-753,0.1,0.2,49
630,UG,"91,05,71,108",-25,0,0,3.4
631,UPS,"91,13,12,106",15206.2,0.3,0.1,3043.9
632,UAMY,"91,15,49,103",-4.5,1.4,0.1,-0.4
633,ESND,"29,66,89,102",-1059.8,0.3,0.3,90
634,S,85207U105,76868.8,0.5,1.2,-2923.9
635,SGMS,80874P109,-2031.4,0.7,2.2,-98
636,SXT,81725T100,-551.1,0.4,0.3,86.4
637,UVV,"91,34,56,109",1251.9,0.3,0.5,109.6
638,UUU,"91,38,21,302",9.1,0,0,0.6
639,UHS,"91,39,03,100",-885.5,0.5,0.4,292.3
640,CTTC,13126R102,-4.7,0,0,-2.4
641,UTMD,"91,74,88,108",159.9,0.1,0.1,9
642,VFC,"91,82,04,108",-1192.8,0.2,0.1,615.4
643,VSEC,"91,82,84,100",-316.2,0.2,0.3,13.4
644,VMI,"92,02,53,101",361.4,0.4,0.3,105
645,VAR,92220P105,4295.5,0.1,0,264.3
646,VECO,"92,24,17,100",1236,0.3,0.2,5.4
647,VII,"92,58,11,101",6.1,0,0.1,-1.5
648,VLGEA,"92,71,07,409",136,0.2,0.3,18.5
649,VIRC,"92,76,51,109",-43.4,0.2,0.2,-2.6
650,VSH,"92,82,98,108",1789.9,0.2,0.3,-6.6
651,VISI,"92,87,03,107",-229.2,0.1,0.1,-0.1
652,VMC,"92,91,60,109",508.5,0.3,0.2,166.2
653,WDFC,"92,92,36,107",234.8,0.3,0.1,30.8
654,WJXFF,"93,07,83,105",-169.7,0.3,0.7,34.5
655,WMT,"93,11,42,103",-63825,0.3,0.2,12467.1
656,WBA,"93,14,27,108",33721.2,0.1,0.1,1891
657,GHC,"38,46,37,104",4111.8,0.1,0.1,261.7
658,WSCI,92932Q102,20.8,0.5,0.6,0.5
659,WSO,"94,26,22,200",-883.5,0.1,0.1,75.2
660,WMK,"94,88,49,104",167.3,0,0,61.7
661,AGNU,00108M102,-1.1,0.3,0.3,-0.6
662,GBR,"64,36,11,106",-20.2,1.1,3.7,-1
663,WST,"95,53,06,105",931.2,0.4,0.3,60.3
664,WDC,"95,81,02,105",96899.3,0.1,0.1,649.2
665,WLB,"96,08,78,106",328.4,0.6,2,-30.4
666,WNGRF,"96,11,48,509",3131.2,0.5,0.7,570.1
667,WEYS,"96,21,49,100",-117.6,0,0,16.7
668,WY,"96,21,66,104",-17325,0.6,0.6,508.9
669,WHR,"96,33,20,106",2406.2,0.2,0.3,420.3
670,JW.A,"96,82,23,206",314.6,0.3,0.2,126.1
671,WMB,"96,94,57,100",-49678.8,0.6,1.3,274.3
672,WSM,"96,99,04,101",-1151.8,0,0,182.7
673,WGO,"97,46,37,100",459.6,0,0,32.9
674,WWW,"97,80,97,103",1125.6,0.2,0.1,80.9
675,WWD,"98,07,45,103",-630.8,0.3,0.2,94
676,FL,"34,48,49,104",4925,0.1,0.1,210.8
677,WOR,"98,18,11,102",1642,0.2,0.2,89.1
678,XRX,"98,41,21,608",-6240,0.8,1.3,579.5
679,KEG,49309J103,1582.5,0.7,1.4,-45.7
680,YRCW,"98,42,49,607",1058,0.7,5.4,-151.3
681,YORW,"98,71,84,108",-10.4,0.4,0.4,7.2
682,HRG,40434J100,6933.7,0.2,1.1,-34.1
683,TJX,"87,25,40,109",6709,0.2,0.1,1163.1
684,OSK,"68,82,39,201",-1102.5,0.3,0.5,132.1
685,MCCHF,"57,99,03,105",4.9,0,0.1,-0.5
686,ECA,"29,25,05,104",1748.8,0.4,0.4,1723.7
687,SRSCQ,81234D109,699.4,0.1,0.2,163.8
688,LCII,50189K103,-235.7,0.2,0.2,25.9
689,CASM,"12,47,69,209",28.3,0.3,0.2,-2.5
690,JKHY,"42,62,81,101",-1447.6,0,0,107.5
691,ARKR,"4,07,12,101",-114.8,0.2,0.2,3.9
692,APC,"3,25,11,107",16775,0.4,0.4,715.6
693,NE,G65431101,1941.1,0.3,0.4,587.1
694,ACUR,00509L802,-65.4,-3,1,-16.9
695,CAW,"12,48,67,102",13.3,0,0,1
696,TUES,"89,90,35,505",354.7,0.3,0.1,18.7
697,RMCF,77467X101,31.1,0.1,0.1,3.3
698,ALTX,"2,14,54,103",5.9,0,0,0
699,DGSE,23323G106,11.3,0.4,0.4,-0.7
700,BIG,"8,93,02,103",-2111.1,0.1,0.1,87.1
701,MS,"61,74,46,448",235726.7,0.2,3.1,3759.5
702,MSFT,"59,49,18,104",37153.3,0.1,0,14592.9
703,ORCL,68389X105,167465.1,0.2,0.1,6050.6
704,TECD,"87,82,37,106",8420.8,0.1,0.2,119.7
705,RGEN,"75,99,16,109",914.2,0,0,3.6
706,CFWFF,"12,95,84,108",1375.1,0.4,0.8,27.6
707,CY,"23,28,06,109",842.8,0.3,0.2,-49.1
708,SIGM,"82,65,65,103",400.5,0,0,-12.9
709,AMAG,00163U106,9.5,0.1,0.1,-17.1
710,XOMA,98419J206,6.8,25.8,0.3,-43.1
711,ASTE,"4,62,24,101",-7.8,0.1,0.1,26.4
712,WERN,"95,07,55,108",927.5,0,0,81.9
713,DLHC,23335Q100,162.6,0,0,-3.1
714,VGZ,"92,79,26,303",94.3,0.1,0.1,-10.5
715,REFR,"76,09,11,107",-71.9,0,0,-4.5
716,AMWD,"3,05,06,109",975,0.1,0.1,17.4
717,HOG,"41,28,22,108",3212.8,0.7,0.3,640.8
718,SKYW,"83,08,79,102",3782.5,0.6,1.4,77.2
719,TOL,"88,94,78,103",-2106.3,0.6,0.6,237.6
720,FRED,"35,61,08,100",458.9,0,0,19.4
721,TWMC,89336Q100,-584.8,0,0.1,-6.5
722,VIVO,"58,95,84,101",433.4,0.2,0.1,20.9
723,IT,"36,66,51,107",1029.7,0.4,0.2,81.6
724,WTS,"94,27,49,102",2284.9,0.3,0.3,38.9
725,PDEX,74265M205,9.6,0.1,0.1,0.1
726,NVR,62944T105,560.7,0.2,0.1,314.3
727,INT,"98,14,75,106",5664.7,0.1,0.1,101.3
728,CLFD,18482P103,-125.9,0,0,0.9
729,ATUS,02156K103,3740.8,-36.1,1.6,152
730,RADA,M81863124,10.9,0.2,0.2,-1.7
731,ADBE,00724F101,-739,0.1,0,507.5
732,HHS,"41,61,96,202",-341.2,0.2,0.2,46.7
733,DJCO,"23,39,12,104",120.4,0.1,0.1,3.1
734,HSTC,"4,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",-2.5,-0.1,0,-0.5
735,CYAN,"23,24,37,301",-8.9,0.2,0.2,-0.4
736,VHI,"91,89,05,100",179.9,0.5,0.5,51.9
737,EHC,29261A100,-1540.7,20,1.2,84.7
738,UNDT,"91,34,59,301",-14.6,0.5,1.6,-2.8
739,PTSI,"69,31,49,106",124.1,0.3,0.5,6.3
740,MHO,55305B101,1008,0.5,0.9,15.7
741,MRTN,"57,30,75,108",-347.5,0.2,0.3,19.7
742,HEMA,"42,34,98,104",13.9,0.1,0.2,-0.1
743,KBH,48666K109,1671.2,1.1,1.4,102.7
744,LVNVF,52749A104,86.1,0,0,-8.5
745,CVM,"15,08,37,607",60.3,0,0,-13.1
746,ABEO,00289Y107,285.5,-1.4,0.3,-10.4
747,ITUS,45069V203,-7.8,-2.3,0,-6
748,BVX,10211F100,108.2,0.1,0,-1.1
749,IBAL,"45,90,41,109",33,0,0,0.5
750,UNM,91529Y106,-284.7,0.1,0.4,586.7
751,VRTC,"92,34,37,305",3.9,-0.5,0.1,-0.6
752,CCE,G25839104,327.8,0.8,0.9,129.8
753,STKL,8676EP108,-25,0.2,0.3,3.3
754,PPC,72147K108,-2088,0.5,1.2,68.2
755,GTII,37955R107,-4.8,-0.2,0.9,-7.5
756,JJSF,"46,60,32,109",865.5,0,0,37.7
757,HTLD,"42,23,47,104",54,0,0,63.7
758,CERN,"15,67,82,104",-1434.8,0.1,0,208
759,LMEFF,"51,93,22,101",0.4,0,0,-0.7
760,ZQKSQ,74838C106,635.2,0.6,7.3,-62
761,ICAD,44934S206,75.9,0.1,0,-8
762,SCIE,###############################################################################################################################################################################################################################################################,-29.7,0,0,-3.2
763,FOXA,90130A101,-2927.6,0.4,0.3,2069.1
764,OSUR,68554V108,468.8,0.1,0,-3.8
765,FRPH,30292L107,-81.1,0.4,0.4,8.4
766,RGRX,75886X108,12.2,0.1,0,-4.3
767,PLXS,"72,91,32,100",1115.6,0.2,0.1,47.8
768,IOR,"45,29,26,108",-4.3,0.7,2,4
769,CDZI,"12,75,37,207",50.3,1.7,0.9,-18.5
770,IMKTA,"45,70,30,104",-319.1,1.2,1.8,34.6
771,SEMUF,G81226105,3110.7,0.3,0.8,116.7
772,RDNT,"75,04,91,102",-23.5,4.4,5.4,1.3
773,JACK,"46,63,67,109",-5.7,0.5,0.3,89.7
774,EEI,"27,88,78,103",18.3,0,0,1.8
775,SOTK,"83,54,83,108",12.3,0.6,0.1,0.2
776,CYTR,"23,28,28,608",423.4,0,0,-18.5
777,PLAB,"71,94,05,102",449.4,0.4,0.9,-1.6
778,ICCC,"45,25,25,306",48.6,0.1,0,0.4
779,REPR,"75,99,10,102",23.9,0.5,0.1,0.3
780,MAMP,58404M101,0.6,-1,0.2,-1.5
781,RCPIQ,"77,20,81,204",-179.4,-0.1,0.3,-19.5
782,CFNB,"13,02,22,102",1007.4,0.1,0.3,10.7
783,SAFM,"80,00,13,104",856.4,0.2,0.2,64.4
784,VOXX,91829F104,99.4,0.1,0.3,5.5
785,GNCMA,"36,93,85,109",234.9,1.4,1.5,6.6
786,DXLG,25065K104,25.5,0.2,0.2,-7.5
787,ASM,"5,39,06,103",210.1,0.2,0.2,-1.1
788,CCC,"12,96,03,106",1101.3,0.2,0.1,19.7
789,CDNS,"12,73,87,108",-489.7,0.2,0.1,1.2
790,EBIX,"27,87,15,206",324.4,0.1,0.1,30.3
791,SNGX,"83,42,23,307",5.3,0,0,-6.4
792,CCL,"14,36,58,300",-4491.9,0.3,0.3,1642.4
793,CMCL,G1757E113,88.3,0,0,-1.4
794,BPL,"11,82,30,101",2705.6,0.9,0.5,143.1
795,NNUTU,78028T100,-30,0.1,0.2,-1.1
796,MIDD,"59,62,78,101",202.5,0.5,0.3,70.9
797,CPSH,12619F104,15.2,0.1,0,0.4
798,CELG,"15,10,20,104",20672.1,0.3,0,516.1
799,CRMT,03062T105,-207.2,0.4,0.7,17.2
800,ABMD,"36,54,100",-296.7,0,0,-3
801,CNMD,"20,74,10,101",1747.7,0.4,0.4,27
802,TIF,"88,65,47,108",1586.9,0.2,0.1,295.3
803,XRAY,24906P109,-429.2,0.4,0.2,224.8
804,IEP,"45,11,00,101",10288.7,0.4,1,156.9
805,FUN,"15,01,85,106",-287.2,2.3,0.9,70.2
806,CBS,"12,48,57,202",-13719.4,0.3,0.3,-1383.3
807,PMD,"74,43,75,205",4.2,0,0,2.7
808,MHGU,59000K309,168,1.2,1.4,0.6
809,NAII,"63,88,42,302",64.2,0.1,0.1,0.9
810,LABL,"62,53,83,104",-39.4,0.7,0.5,18
811,HRTX,"42,77,46,102",825,0,0,-21.2
812,KOOL,"15,71,31,202",46.2,0,0,-7.3
813,AFAM,"2,04,09,108",937.4,0.3,0.2,11.3
814,FICO,"30,32,50,104",-397.6,0.6,0.3,80.8
815,CBM,"13,20,11,107",231.2,0.4,0.4,21.4
816,JOUT,"47,91,67,108",327.6,0.2,0.4,2.7
817,GBCS,37953J107,-14.6,1.5,4.5,-0.4
818,FGP,"31,52,93,100",44.2,3.1,0.9,33.3
819,VGR,92240M108,2810.7,1,0.4,44
820,TVAGF,"87,29,48,203",-799.4,0.2,0.3,13.4
821,MEOH,59151K108,43.4,0.4,0.4,181.5
822,HUSKF,"44,80,55,103",-3900,0.2,0.2,1384.2
823,TORSF,"89,14,74,207",763.7,0.3,0.4,36.7
824,TGA,"89,36,62,106",749.4,0.1,0.1,17.1
825,CLH,"18,44,96,107",2722.5,0.4,0.6,42.4
826,CFPZF,"13,75,76,104",-354.8,0.2,0.4,62.7
827,CCDBF,"12,49,00,309",5591.4,0.4,0.6,95.8
828,CADNF,"14,69,00,105",-1156.2,0.7,2.1,22.1
829,AIN,"1,23,48,108",3502.3,0.4,0.5,27.7
830,CYBE,"23,25,17,102",-55.5,0,0,-0.4
831,MITK,"60,67,10,200",5.8,0.1,0,-1.3
832,MNI,"57,94,89,303",423.2,0.8,4.8,-119.6
833,GANS,"36,31,27,309",-110.9,0.1,0.8,-2.4
834,FAST,"31,19,00,104",-1300.5,0,0,250.4
835,TATT,M8740S227,57.3,0.1,0.1,4.2
836,OMAG,"68,16,59,207",5.4,0.3,0,-2.1
837,MXIM,57772K101,8969.1,0.1,0,322.7
838,APH,"3,20,95,101",10519.6,0.8,0.2,361
839,CNMGF,13710C107,503.8,0.4,0.8,19.5
840,AKRX,"97,28,106",554.4,0.6,0.3,14.1
841,IPAR,"45,83,34,109",792.1,0,0,27.9
842,PII,"73,10,68,102",3414.8,0.2,0.1,190.5
843,EMLAF,"29,18,43,407",-4571.2,0.3,0.5,143.6
844,SNCAF,78460T105,789.6,0.5,0.4,287.9
845,SJR,82028K200,-3758.7,0.6,0.5,382.1
846,PXD,"72,37,87,107",22765.7,0.5,0.5,266.2
847,USM,"91,16,84,108",4975.8,0.2,0.3,136.1
848,MAN,56418H100,-901.9,0.2,0.2,216.6
849,TMBCF,87974D100,-1134.4,0.7,4.5,-65.6
850,FTS,"34,95,53,107",31702.4,0.9,1.1,249.4
851,TAC,89346D107,-670.6,0.6,1,139.9
852,BID,"83,58,98,107",2193.8,0.3,0.3,57.2
853,MGM,"55,29,53,101",-17759.1,1.2,1.5,60.2
854,QTXB,74765N109,-8.9,0.1,0,-1.9
855,WM,94106L109,12775,0.7,0.5,828.2
856,SSP,"81,10,54,402",1016.8,0.2,0.2,66.4
857,IIVI,"90,21,04,108",1452.7,0.1,0.1,35.3
858,MERC,"58,80,56,101",565.5,1.9,4.5,9.7
859,CLHRF,"21,80,02,202",0.2,0,0,-1
860,MGCD,"55,27,68,103",-9.3,0.4,1.2,-0.4
861,PCFO,"69,47,14,106",92.2,-12.4,196.2,0.5
862,FCX,35671D857,-16341.9,0.5,0.6,-68.7
863,AB,01881G106,288.1,0,0,175.4
864,JNP,48203L107,36.8,0,0.2,-8.6
865,CDMO,05368M106,480,0,0,-25.1
866,ODP,"67,62,20,106",3195.6,0.2,0.4,-7.6
867,NEN,"64,42,06,104",-66.3,-2.1,1.3,4.2
868,MTH,59001A102,1555.6,0.7,0.7,44.4
869,ARCH,"3,93,80,407",2740.8,-9.6,17.2,-219
870,CMT,"21,86,83,100",26.6,0.3,0.8,5.3
871,MGPI,55303J106,83,0.1,0.2,2.3
872,DDD,88554D205,900.8,0.2,0.1,-35.5
873,AUSI,"5,15,26,200",-60.2,0.2,0.3,-13.2
874,NTP,G63907102,658.7,0,0,25.1
875,LNN,"53,55,55,106",544.1,0.1,0,24.5
876,AFTM,00831X102,21.2,-0.1,0.1,-4.2
877,LH,50540R409,2031.3,0.5,0.2,419.7
878,CSBR,15870P307,40.3,0,0,-3.6
879,VASO,92233F102,34.5,0.1,0.1,-1.1
880,ADWPF,03444Q100,-45.5,0.2,0.3,10.7
881,PHXCF,"71,90,15,109",15.4,0,0,-0.1
882,TMTNF,"89,11,02,105",-126.2,0.2,0.1,104.8
883,TORM,"89,08,78,309",-5.2,0.2,0.3,0
884,CXA.H,20934T204,63.5,0.3,0.9,16.2
885,GG,"38,09,56,409",639.7,0,0.1,-44
886,IFSPF,45868C109,2281.2,0.2,0.4,5.8
887,PKIUF,70137T105,385.1,0.3,0.2,40.2
888,HERXF,42774L109,26.6,0.3,0.4,19.7
889,CNQ,"13,63,85,101",2420,0.3,0.3,1837.7
