Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
103,CSPI,"12,63,89,105",-9.9,0,0,0.2
104,CSX,"12,64,08,103",-3293.8,0.4,0.6,1198.6
105,CTS,"12,65,01,105",671.1,0.2,0.2,13.4
106,CVV,"12,66,01,103",82.2,0.2,0.3,0.6
107,CBT,"12,70,55,101",781.2,0.3,0.3,116.3
108,CACI,"12,71,90,304",2777.2,0.3,0.3,91.2
109,CAMP,"12,81,26,109",665.9,0.2,0.2,-2.6
110,CWT,"13,07,88,102",567.8,0.4,0.5,33.6
111,CPB,"13,44,29,109",975,0.6,0.2,734.2
112,MLFNF,"56,49,05,107",312.2,0.5,0.6,132.1
113,CNI,"13,63,75,102",-11737.5,0.4,0.3,1888.1
114,CDNAF,"13,66,81,202",2167.3,0.3,0.4,382.6
115,STZ,21036P108,-1356.5,0.8,0.7,375.3
116,CPTP,"14,04,30,109",-40.6,0.5,0.1,1.2
117,CAH,14149Y108,25076.9,0.2,0.2,1080.8
118,CSL,"14,23,39,100",2561.2,0.3,0.2,152.1
119,ASWRF,40281L109,-1.3,0,0,-1.7
120,CRS,"14,42,85,103",-362.5,0.3,0.4,88.3
121,CASY,"14,75,28,103",222.2,0.4,0.2,90.3
122,CTAM,"14,84,11,309",-177.7,0.5,1.3,-19.5
123,CAT,"14,91,23,101",17087.5,0.8,0.7,2691.8
124,CATO,"14,92,05,106",-114.5,0,0,48
125,RFIL,"74,95,52,105",31.8,0,0,1.3
126,CTNR,15459P108,21.2,0.1,0.1,0.5
127,CSTW,"15,54,11,101",130.6,0.1,0.2,6.7
128,CTL,"15,67,00,106",-17086.5,0.7,0.8,493.9
129,MGLN,"55,90,79,207",1769.6,-1.2,53,58.1
130,CMD,"13,80,98,108",370.6,0.2,0.1,19.2
131,CHE,16359R103,-436.3,0.3,0.2,54.4
132,CLSN,15117N503,30.7,0.3,0.1,-11.3
133,CVX,"16,67,64,100",94656.2,0.1,0.1,14490.7
134,CVR,"16,80,88,102",-3.9,0,0,1.2
135,EAT,"10,96,41,100",759.1,0.6,0.2,150.8
136,CHD,"17,13,40,102",-133.5,0.4,0.2,208.5
137,CHDN,"17,14,84,108",-787.7,0.3,0.2,35.6
138,CBB,"17,18,71,502",-3981.9,16.5,2.6,-173.1
139,CTAS,"17,29,08,105",10910.8,0.3,0.2,317.3
140,IHRT,45174J103,-4006.8,-1.2,41.7,-1792.3
141,CLF,"18,58,99,101",578.1,15.5,1.1,-260.9
142,CLX,"18,90,54,109",1166.7,0.9,0.2,537.4
143,COKE,"19,10,98,102",2357.6,1.1,1.8,25.9
144,KO,"19,12,16,100",25418.8,0.2,0.1,6211.7
145,CDE,"19,21,08,504",1328.5,0.6,0.9,-139.2
146,COHR,"19,24,79,103",-477.5,0,0,34.8
147,COHU,"19,25,76,106",379,0,0,4.5
148,CL,"19,41,62,103",2877.5,0.7,0.1,1740.5
149,CCOM,12504V107,-38.8,0.1,0.5,-0.5
150,CCF,16150R104,187.7,0.2,0.2,10.5
151,CMRO,"20,00,80,109",-30.5,0,0,-2.5
152,CMCSA,20030N101,11357.5,0.4,0.5,3509.8
153,CMC,"20,17,23,103",120.4,0.4,0.6,107.5
154,JCS,"20,39,00,105",-44.6,0,0,3.7
155,CA,12673P105,22200,0.2,0.2,348.7
156,DXC,23355L106,1196,0.3,0.3,249
157,CTG,"20,54,77,102",128,0,0.1,3.2
158,CMTL,"20,58,26,209",1563,0.3,0.2,33.5
159,CAG,"20,58,87,102",-15035,0.6,0.4,563.4
160,RAVE,"75,41,98,109",63.5,0.6,0.2,0.5
161,CTWS,"20,77,97,101",237.6,0.4,0.4,11.7
162,BH,08986R101,133.7,0.4,0.4,25.2
163,CUO,"21,16,15,307",-16,0.1,0.3,1.2
164,CTB,"21,68,31,107",1622.1,0.3,0.5,94.9
165,COO,"21,66,48,402",61.5,0.3,0.3,118.5
166,TAP,60871R209,73043,0.3,0.3,383.4
167,CBYDF,"21,83,49,108",270.9,0.5,0.1,33.3
168,GLW,"21,93,50,105",-36828.1,0.2,0.2,1059.5
169,CBRL,22410J106,122,0.6,0.4,102.6
170,CR,"22,43,99,105",2876.1,0.2,0.2,117.6
